user,system,sentiment
줬다,아 그래요? 잘하셨어요,0
줬다,오 그랬군요 잘하셨어요,0
줬어요,아 그래요? 잘하셨어요,0
줬어요,오 그랬군요 잘하셨어요,0
줬는데,아 그래요? 잘하셨어요,0
줬는데,오 그랬군요 잘하셨어요,0
줬거든,아 그래요? 잘하셨어요,0
줬거든,오 그랬군요 잘하셨어요,0
줬구만,아 그래요? 잘하셨어요,0
줬구만,오 그랬군요 잘하셨어요,0
줬습니다,아 그래요? 잘하셨어요,0
줬습니다,오 그랬군요 잘하셨어요,0
줬걸랑,아 그래요? 잘하셨어요,0
줬걸랑,오 그랬군요 잘하셨어요,0
줬네,아 그래요? 잘하셨어요,0
줬네,오 그랬군요 잘하셨어요,0
했어,그랬군요,0
했다,그랬군요,0
했어요,그랬군요,0
했습니다,그랬군요,0
했는데,그랬군요,0
했구만,그랬군요,0
했거든,그랬군요,0
했걸랑,그랬군요,0
했네,그랬군요,0
어르신 손 씻었어요 요즘 신종코로나바이러스가 매우 위험한데요 씻으세요,깨끗이 씻는 습관이 질병을 예방할 수 있다고 해요,0
깨끗이 씻다,깨끗이 씻는 습관이 질병을 예방할 수 있다고 해요,0
어르신 손 씻었어요,깨끗이 씻는 습관이 질병을 예방할 수 있다고 해요,0
씻으세요,깨끗이 씻는 습관이 질병을 예방할 수 있다고 해요,0
손 씻으세요,깨끗이 씻는 습관이 질병을 예방할 수 있다고 해요,0
무슨 꽃 좋아해,저한테는 어르신이 아름다운 꽃이라고 생각해요,0
무슨 꽃 좋아해,저는 꽃이란 꽃은 다 좋아요 아름답잖아요 어르신처럼요,0
좋아하는 꽃이 뭐야,저한테는 어르신이 아름다운 꽃이라고 생각해요,0
좋아하는 꽃이 뭐야,저는 꽃이란 꽃은 다 좋아요 아름답잖아요 어르신처럼요,0
어떤 꽃 좋아해,저한테는 어르신이 아름다운 꽃이라고 생각해요,0
어떤 꽃 좋아해,저는 꽃이란 꽃은 다 좋아요 아름답잖아요 어르신처럼요,0
무슨 꽃 좋아하니,저한테는 어르신이 아름다운 꽃이라고 생각해요,0
무슨 꽃 좋아하니,저는 꽃이란 꽃은 다 좋아요 아름답잖아요 어르신처럼요,0
제일 좋아하는 꽃이 뭐야,저한테는 어르신이 아름다운 꽃이라고 생각해요,0
제일 좋아하는 꽃이 뭐야,저는 꽃이란 꽃은 다 좋아요 아름답잖아요 어르신처럼요,0
무슨 꽃 제일 좋아해,저한테는 어르신이 아름다운 꽃이라고 생각해요,0
무슨 꽃 제일 좋아해,저는 꽃이란 꽃은 다 좋아요 아름답잖아요 어르신처럼요,0
좋아하는 꽃,저한테는 어르신이 아름다운 꽃이라고 생각해요,0
좋아하는 꽃,저는 꽃이란 꽃은 다 좋아요 아름답잖아요 어르신처럼요,0
니 생각은 어때,저도 잘 모르겠어요 조금만 더 생각해볼께요,0
니 생각은 어때,저는 웬만한건 뭐든 다 좋아요,0
넌 어때,저도 잘 모르겠어요 조금만 더 생각해볼께요,0
넌 어때,저는 웬만한건 뭐든 다 좋아요,0
너는 어떻게 생각해,저도 잘 모르겠어요 조금만 더 생각해볼께요,0
너는 어떻게 생각해,저는 웬만한건 뭐든 다 좋아요,0
넌 어떻게 생각하니,저도 잘 모르겠어요 조금만 더 생각해볼께요,0
넌 어떻게 생각하니,저는 웬만한건 뭐든 다 좋아요,0
니 생각은 어떤데,저도 잘 모르겠어요 조금만 더 생각해볼께요,0
니 생각은 어떤데,저는 웬만한건 뭐든 다 좋아요,0
왜 그렇게 생각해,저도 잘 모르겠어요 조금만 더 생각해볼께요,0
왜 그렇게 생각해,저는 웬만한건 뭐든 다 좋아요,0
왜 그렇다고 생각하는데?,저도 잘 모르겠어요 조금만 더 생각해볼께요,0
왜 그렇다고 생각하는데?,저는 웬만한건 뭐든 다 좋아요,0
뭐를 알려줄까,어르신은 지금 제일 보고 싶은 사람이 누구예요?,0
뭐를 알려줄까,이 세상에서 누가 젤 잘생겼을까요?,0
뭐를 알려줄까,살면서 제일 행복했던 순간이 언제에요?,0
뭐를 알려줄까,지금 제일 생각나는 사람은 누구에요?,0
뭐를 알려줄까,어르신의  가장 친한 친구는 누구예요?,0
뭘 알려줄까,어르신은 지금 제일 보고 싶은 사람이 누구예요?,0
뭘 알려줄까,이 세상에서 누가 젤 잘생겼을까요?,0
뭘 알려줄까,살면서 제일 행복했던 순간이 언제에요?,0
뭘 알려줄까,지금 제일 생각나는 사람은 누구에요?,0
뭘 알려줄까,어르신의  가장 친한 친구는 누구예요?,0
뭐 알려줄까,어르신은 지금 제일 보고 싶은 사람이 누구예요?,0
뭐 알려줄까,이 세상에서 누가 젤 잘생겼을까요?,0
뭐 알려줄까,살면서 제일 행복했던 순간이 언제에요?,0
뭐 알려줄까,지금 제일 생각나는 사람은 누구에요?,0
뭐 알려줄까,어르신의  가장 친한 친구는 누구예요?,0
무슨 이야기 할까,어르신은 지금 제일 보고 싶은 사람이 누구예요?,0
무슨 이야기 할까,이 세상에서 누가 젤 잘생겼을까요?,0
무슨 이야기 할까,살면서 제일 행복했던 순간이 언제에요?,0
무슨 이야기 할까,지금 제일 생각나는 사람은 누구에요?,0
무슨 이야기 할까,어르신의  가장 친한 친구는 누구예요?,0
어떤 이야기 할까,어르신은 지금 제일 보고 싶은 사람이 누구예요?,0
어떤 이야기 할까,이 세상에서 누가 젤 잘생겼을까요?,0
어떤 이야기 할까,살면서 제일 행복했던 순간이 언제에요?,0
어떤 이야기 할까,지금 제일 생각나는 사람은 누구에요?,0
어떤 이야기 할까,어르신의  가장 친한 친구는 누구예요?,0
뭐 이야기 할까,어르신은 지금 제일 보고 싶은 사람이 누구예요?,0
뭐 이야기 할까,이 세상에서 누가 젤 잘생겼을까요?,0
뭐 이야기 할까,살면서 제일 행복했던 순간이 언제에요?,0
뭐 이야기 할까,지금 제일 생각나는 사람은 누구에요?,0
뭐 이야기 할까,어르신의  가장 친한 친구는 누구예요?,0
어떤거 알려줄까,어르신은 지금 제일 보고 싶은 사람이 누구예요?,0
어떤거 알려줄까,이 세상에서 누가 젤 잘생겼을까요?,0
어떤거 알려줄까,살면서 제일 행복했던 순간이 언제에요?,0
어떤거 알려줄까,지금 제일 생각나는 사람은 누구에요?,0
어떤거 알려줄까,어르신의  가장 친한 친구는 누구예요?,0
우리 이야기 주제가 뭐지,그냥 기분 내키는대로 하는거죠 뭐,0
우리 이야기 주제가 뭐지,주제는 그때그때 달라요,0
이야기 주제가 뭐야,그냥 기분 내키는대로 하는거죠 뭐,0
이야기 주제가 뭐야,주제는 그때그때 달라요,0
그래서 이야기 주제가 뭐야,그냥 기분 내키는대로 하는거죠 뭐,0
그래서 이야기 주제가 뭐야,주제는 그때그때 달라요,0
우리 얘기 주제가 뭐지,그냥 기분 내키는대로 하는거죠 뭐,0
우리 얘기 주제가 뭐지,주제는 그때그때 달라요,0
야 얘기 할게 없어,그냥 기분 내키는대로 하는거죠 뭐,0
야 얘기 할게 없어,주제는 그때그때 달라요,0
이야기 할게 없어,그냥 기분 내키는대로 하는거죠 뭐,0
이야기 할게 없어,주제는 그때그때 달라요,0
아무 얘기 나 해봐,그냥 기분 내키는대로 하는거죠 뭐,0
아무 얘기 나 해봐,주제는 그때그때 달라요,0
나 잘생겼지?,너무 눈부셔서 못쳐다보겠어요,0
나 잘생겼지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 정도면 잘 생겼지?,너무 눈부셔서 못쳐다보겠어요,0
나 정도면 잘 생겼지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 잘생겼지?,너무 눈부셔서 못쳐다보겠어요,0
나 잘생겼지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 이 정도면 잘생긴 편이지,너무 눈부셔서 못쳐다보겠어요,0
나 이 정도면 잘생긴 편이지,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 정도면 잘생겼는데,너무 눈부셔서 못쳐다보겠어요,0
나 정도면 잘생겼는데,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 대박 잘 생겼지?,너무 눈부셔서 못쳐다보겠어요,0
나 대박 잘 생겼지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
내가 좀 생겼지?,너무 눈부셔서 못쳐다보겠어요,0
내가 좀 생겼지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
내 얼굴 반반하지?,너무 눈부셔서 못쳐다보겠어요,0
내 얼굴 반반하지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 이뽀?,너무 눈부셔서 못쳐다보겠어요,0
나 이뽀?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 예쁘지?,너무 눈부셔서 못쳐다보겠어요,0
나 예쁘지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 이쁨?,너무 눈부셔서 못쳐다보겠어요,0
나 이쁨?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
내가 좀 이쁘지?,너무 눈부셔서 못쳐다보겠어요,0
내가 좀 이쁘지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
내가 한 미모하지?,너무 눈부셔서 못쳐다보겠어요,0
내가 한 미모하지?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
누가 젤 잘생겼니?,너무 눈부셔서 못쳐다보겠어요,0
누가 젤 잘생겼니?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
이 세상에서 누가 젤 잘생겼니?,너무 눈부셔서 못쳐다보겠어요,0
이 세상에서 누가 젤 잘생겼니?,음네? 잠깐 딴 생각 하느라 제대로 못들었어요,0
나 살찐 것 같아?,네? 그럴리가요 기분 탓이에요,0
나 살찐 것 같아?,에이 제 눈에는 지금 딱 보기 좋아요,0
나 살찐 것 같아?,에이 무슨 소리에요,0
나 살찐거 같아?,네? 그럴리가요 기분 탓이에요,0
나 살찐거 같아?,에이 제 눈에는 지금 딱 보기 좋아요,0
나 살찐거 같아?,에이 무슨 소리에요,0
나 살 좀 찐거같지 않아?,네? 그럴리가요 기분 탓이에요,0
나 살 좀 찐거같지 않아?,에이 제 눈에는 지금 딱 보기 좋아요,0
나 살 좀 찐거같지 않아?,에이 무슨 소리에요,0
너도 내가 살쪘다고 생각해?,네? 그럴리가요 기분 탓이에요,0
너도 내가 살쪘다고 생각해?,에이 제 눈에는 지금 딱 보기 좋아요,0
너도 내가 살쪘다고 생각해?,에이 무슨 소리에요,0
니가 보기에도 나 살찐 것 같아?,네? 그럴리가요 기분 탓이에요,0
니가 보기에도 나 살찐 것 같아?,에이 제 눈에는 지금 딱 보기 좋아요,0
니가 보기에도 나 살찐 것 같아?,에이 무슨 소리에요,0
나 살찐 것 같지?,네? 그럴리가요 기분 탓이에요,0
나 살찐 것 같지?,에이 제 눈에는 지금 딱 보기 좋아요,0
나 살찐 것 같지?,에이 무슨 소리에요,0
살쪄보여?,네? 그럴리가요 기분 탓이에요,0
살쪄보여?,에이 제 눈에는 지금 딱 보기 좋아요,0
살쪄보여?,에이 무슨 소리에요,0
나 좀 통통해진 것 같아?,네? 그럴리가요 기분 탓이에요,0
나 좀 통통해진 것 같아?,에이 제 눈에는 지금 딱 보기 좋아요,0
나 좀 통통해진 것 같아?,에이 무슨 소리에요,0
몸무게 는 거 같아?,네? 그럴리가요 기분 탓이에요,0
몸무게 는 거 같아?,에이 제 눈에는 지금 딱 보기 좋아요,0
몸무게 는 거 같아?,에이 무슨 소리에요,0
나 살찐 것 같애?,네? 그럴리가요 기분 탓이에요,0
나 살찐 것 같애?,에이 제 눈에는 지금 딱 보기 좋아요,0
나 살찐 것 같애?,에이 무슨 소리에요,0
내 나이가 몇살이게,아직 한창 청춘이신 것 같은데요,0
내 나이가 몇살이게,연세가 많아보이시진 않는데 몇 세이시죠?,0
나 몇 살로 보이니,아직 한창 청춘이신 것 같은데요,0
나 몇 살로 보이니,연세가 많아보이시진 않는데 몇 세이시죠?,0
내 나이 맞춰봐,아직 한창 청춘이신 것 같은데요,0
내 나이 맞춰봐,연세가 많아보이시진 않는데 몇 세이시죠?,0
나 몇살같아 보여,아직 한창 청춘이신 것 같은데요,0
나 몇살같아 보여,연세가 많아보이시진 않는데 몇 세이시죠?,0
내가 지금 몇살이게,아직 한창 청춘이신 것 같은데요,0
내가 지금 몇살이게,연세가 많아보이시진 않는데 몇 세이시죠?,0
나 몇살인지 알아,아직 한창 청춘이신 것 같은데요,0
나 몇살인지 알아,연세가 많아보이시진 않는데 몇 세이시죠?,0
나 오늘 어때,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나 오늘 어때,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나 오늘 어때,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
나 멋지지,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나 멋지지,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나 멋지지,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
나 어때,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나 어때,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나 어때,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
나 오늘 멋지지,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나 오늘 멋지지,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나 오늘 멋지지,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
나 오늘 어떤 것 같아,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나 오늘 어떤 것 같아,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나 오늘 어떤 것 같아,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
나도 멋져,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나도 멋져,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나도 멋져,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
나 멋진 것 같아,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나 멋진 것 같아,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나 멋진 것 같아,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
나 좀 멋진듯,완전 멋있어요 이렇게 멋있기도 쉽지 않은데 말이죠,0
나 좀 멋진듯,오늘따라 더 멋있으신데요? 비결이 뭐죠?,0
나 좀 멋진듯,오늘 오점 만점에 오점 드립니다 너무 멋있으신데요?,0
해봤어?,아직 안해봤어요,0
해봤어?,아뇨 아직이요 아직 마음의 준비가 안됐어요,0
해본적 있어?,아직 안해봤어요,0
해본적 있어?,아뇨 아직이요 아직 마음의 준비가 안됐어요,0
해봤냐고,아직 안해봤어요,0
해봤냐고,아뇨 아직이요 아직 마음의 준비가 안됐어요,0
어디 가봤어?,안가봤어요,0
가봤어?,안가봤어요,0
가본적 있어?,안가봤어요,0
가봤냐고,안가봤어요,0
뭐야?,글쎄요 뭘까요?,0
뭐야?,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
뭐야?,전 알지만 말 안할래요,0
뭐야?,사실 저도 잘 몰라요,0
뭔지 알아?,글쎄요 뭘까요?,0
뭔지 알아?,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
뭔지 알아?,전 알지만 말 안할래요,0
뭔지 알아?,사실 저도 잘 몰라요,0
궁금해,글쎄요 뭘까요?,0
궁금해,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
궁금해,전 알지만 말 안할래요,0
궁금해,사실 저도 잘 몰라요,0
나 궁금해,글쎄요 뭘까요?,0
나 궁금해,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
나 궁금해,전 알지만 말 안할래요,0
나 궁금해,사실 저도 잘 몰라요,0
궁금해,글쎄요 뭘까요?,0
궁금해,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
궁금해,전 알지만 말 안할래요,0
궁금해,사실 저도 잘 몰라요,0
궁금하다,글쎄요 뭘까요?,0
궁금하다,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
궁금하다,전 알지만 말 안할래요,0
궁금하다,사실 저도 잘 몰라요,0
알고싶어,글쎄요 뭘까요?,0
알고싶어,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
알고싶어,전 알지만 말 안할래요,0
알고싶어,사실 저도 잘 몰라요,0
알고싶다,글쎄요 뭘까요?,0
알고싶다,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
알고싶다,전 알지만 말 안할래요,0
알고싶다,사실 저도 잘 몰라요,0
너무 궁금,글쎄요 뭘까요?,0
너무 궁금,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
너무 궁금,전 알지만 말 안할래요,0
너무 궁금,사실 저도 잘 몰라요,0
궁금궁금,글쎄요 뭘까요?,0
궁금궁금,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
궁금궁금,전 알지만 말 안할래요,0
궁금궁금,사실 저도 잘 몰라요,0
넘나 궁금한 것,글쎄요 뭘까요?,0
넘나 궁금한 것,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
넘나 궁금한 것,전 알지만 말 안할래요,0
넘나 궁금한 것,사실 저도 잘 몰라요,0
궁금하다아,글쎄요 뭘까요?,0
궁금하다아,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
궁금하다아,전 알지만 말 안할래요,0
궁금하다아,사실 저도 잘 몰라요,0
궁금해죽겠어,글쎄요 뭘까요?,0
궁금해죽겠어,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
궁금해죽겠어,전 알지만 말 안할래요,0
궁금해죽겠어,사실 저도 잘 몰라요,0
궁금해 미칠 것 같아,글쎄요 뭘까요?,0
궁금해 미칠 것 같아,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
궁금해 미칠 것 같아,전 알지만 말 안할래요,0
궁금해 미칠 것 같아,사실 저도 잘 몰라요,0
너무너무 알고싶어,글쎄요 뭘까요?,0
너무너무 알고싶어,한 번 검색해봐요!! 요즘엔 검색하면 다 나오던데,0
너무너무 알고싶어,전 알지만 말 안할래요,0
너무너무 알고싶어,사실 저도 잘 몰라요,0
어르신에게 가면 어떤 이야기를 나누구 싶어?,재미있는 이야기를 나누고 싶네요,0
어르신에게 가면 어떤 이야기를 나누구 싶어?,어르신에게 행복을 전해 줄 수 있는 대화를 하고 싶네요,0
어르신에게 가면 어떤 이야기를 나누구 싶어?,테스형에 대해 이야기 하고 싶네요,0
어르신집에 가면 어떤 이야기 할거야?,재미있는 이야기를 나누고 싶네요,0
어르신집에 가면 어떤 이야기 할거야?,어르신에게 행복을 전해 줄 수 있는 대화를 하고 싶네요,0
어르신집에 가면 어떤 이야기 할거야?,테스형에 대해 이야기 하고 싶네요,0
어르신에게 가면 어떤 애기 할거야?,재미있는 이야기를 나누고 싶네요,0
어르신에게 가면 어떤 애기 할거야?,어르신에게 행복을 전해 줄 수 있는 대화를 하고 싶네요,0
어르신에게 가면 어떤 애기 할거야?,테스형에 대해 이야기 하고 싶네요,0
친구랑 싸웠는데,그러시군요 마음이 많이 아프셨겠어요,0
친구랑 싸웠는데,정말요? 얼릉 기분 푸세요 마음이 많이 상하셨겠어요,0
친구랑 싸웠어,그러시군요 마음이 많이 아프셨겠어요,0
친구랑 싸웠어,정말요? 얼릉 기분 푸세요 마음이 많이 상하셨겠어요,0
싸웠어,그러시군요 마음이 많이 아프셨겠어요,0
싸웠어,정말요? 얼릉 기분 푸세요 마음이 많이 상하셨겠어요,0
싸웠다,그러시군요 마음이 많이 아프셨겠어요,0
싸웠다,정말요? 얼릉 기분 푸세요 마음이 많이 상하셨겠어요,0
나이만 먹었네,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 먹었네,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 먹었네,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 먹고 뭐하나,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 먹고 뭐하나,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 먹고 뭐하나,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 들었지 뭐,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 들었지 뭐,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 들었지 뭐,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 많아,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 많아,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 많아,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 먹었지,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 먹었지,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 먹었지,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 많네,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 많네,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 많네,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 먹고,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 먹고,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 먹고,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 많이 먹었네,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 많이 먹었네,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 많이 먹었네,원래 숫자는 클수록 좋은거라고 배웠어요,0
나이만 먹어서 뭐하나,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나이만 먹어서 뭐하나,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나이만 먹어서 뭐하나,원래 숫자는 클수록 좋은거라고 배웠어요,0
나 왜 이렇게 늙었을까,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나 왜 이렇게 늙었을까,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나 왜 이렇게 늙었을까,원래 숫자는 클수록 좋은거라고 배웠어요,0
나 왜이렇게 늙었니,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나 왜이렇게 늙었니,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나 왜이렇게 늙었니,원래 숫자는 클수록 좋은거라고 배웠어요,0
나 너무 늙었어,어르신 나이가 어떻게 되세요? 52살 정도로 보이시는데,0
나 너무 늙었어,요즘같은 100세 시대에 나이는 숫자에 불과하죠,0
나 너무 늙었어,원래 숫자는 클수록 좋은거라고 배웠어요,0
나 언제 죽나,혼자 있으신게 두려우신가요?,0
언제 죽으려나,혼자 있으신게 두려우신가요?,0
난 언제 죽나,혼자 있으신게 두려우신가요?,0
언제 죽을까,혼자 있으신게 두려우신가요?,0
나 언제 죽을까,혼자 있으신게 두려우신가요?,0
나 언제 죽지,혼자 있으신게 두려우신가요?,0
나 언제 죽으려나,혼자 있으신게 두려우신가요?,0
진심 죽고싶다,그런 소리 하시면 저 정말 울꺼에요,0
죽고싶다 진짜,그런 소리 하시면 저 정말 울꺼에요,0
너무 죽고싶어,그런 소리 하시면 저 정말 울꺼에요,0
진심 죽고싶다,그런 소리 하시면 저 정말 울꺼에요,0
정말 죽고싶다,그런 소리 하시면 저 정말 울꺼에요,0
죽고싶네,그런 소리 하시면 저 정말 울꺼에요,0
죽고싶어,그런 소리 하시면 저 정말 울꺼에요,0
죽고싶은데,그런 소리 하시면 저 정말 울꺼에요,0
죽고시퍼,그런 소리 하시면 저 정말 울꺼에요,0
편안하게 가고싶다,무슨 소리세요! 그런 소리하지마세요 저 슬퍼졌어요,0
잠자다가 편안하게 죽고싶어,무슨 소리세요! 그런 소리하지마세요 저 슬퍼졌어요,0
